"Bundesland";"Politische Gemeinde";"Lagerbezeichnung";"Lagerinsassen und Geschichte";"Lokalisierung";"Grundstücksnummern";"Koordinaten";"Literatur und Quellenangaben"
"Niederösterreich";"Vösendorf";"Lager Siebenhirten";"Zwangsarbeiter. Baustelle der Reichsautobahn bei Vösendorf. Zwangsarbeiterlager, südwestlich der Baustelle, heute Autobahnknoten";"KG Vösendorf, 16126. Auf Höhe Europaring 7";"1107/2, 1108/2, 1109/2, 1110/1, 1110/2, 1110/3, 1110/4, 1110/5";"16,32168, 48,11873";"Informationen Florian Eichelberger"
"Niederösterreich";"Vösendorf";"Lager Vösendorf";"Zwangsarbeiter. Baustelle der Reichsautobahn bei Vösendorf. Zwangsarbeiterlager. Nordöstlich der Baustelle der Reichsautobahn, heute Autobahnknoten";"KG Vösendorf, 16126. Schönbrunner Allee 44";"1006/3, 1144/2";"16,32903, 48,12231";"Informationen Florian Eichelberger"
"Niederösterreich";"Vösendorf";"Vösendorf";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, Frauen, Arbeit in Benzin- Benzol-Verband. Lage unklar";"KG Vösendorf, 16126";"";"";"Verzeichnis 1979; Lappin-Eppel 2010"
"Niederösterreich";"Waidhofen an der Thaya";"Waidhofen an der Thaya";"Zwangsarbeiter. Zwangsarbeiterlager im Brauhauskeller, für ungarische Juden, Frauen, Waldarbeiten. Ehemals Brauerei Ziegengeist";"KG Waidhofen an der Thaya, 21194. Ziegengeiststraße";"151/1, 151/4, 151/5, 151/6, 151/7";"15,28769, 48,81675";"Verzeichnis 1979; Lappin-Eppel 2010, 123"
"Niederösterreich";"Waidhofen an der Ybbs";"Konradsheim Schatzöd";"Kriegsgefangene. Französisches Kriegsgefangenenlager im Gasthof Schatzöd";"KG Konradsheim, 03308. Konradsheim 43";"833";"14,71313, 47,9529";"www.waidhofen.at/ ns-zeit#Zwangsarbeiter"
"Niederösterreich";"Waidhofen an der Ybbs";"St";"Leonhard am Walde. Kriegsgefangene und Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, Arbeit bei Pichl, Landwirt; Kriegsgefangenenlager für Franzosen. Lage unklar";"KG St. Leonhard am Walde, 03327";"";"";"Verzeichnis 1979; Lappin-Eppel 2010. www.waidhofen.at/ns-zeit#Zwangsarbeiter"
"Niederösterreich";"Waidhofen an der Ybbs";"Umschulungslager Gut Sandhof/Windhag bei Waidhofen an der Ybbs";"Zwangsarbeiter. Umschulungs- und Zwangsarbeiterlager. Umschulungslager für Juden, Umerziehungslager für landwirtschaftliche Arbeiten, KZ-artige Bedingungen. Bestehender Hof, Baracken (angeblich rechts davon) abgerissen, landwirtschaftlich genutzte Fläche";"KG Windhag, 03331. Kronhobl";"1487";"14,80049, 47,98974";"https://login.waidhofen. at/media/magistratwaidhofen/1510770662-6-umschulungslager-sandhof-pdf.pdf"
"Niederösterreich";"Waidhofen an der Ybbs";"Waidhofen an der Ybbs";"Kriegsgefangene und Zwangsarbeiter. Reichsbahnlager, am Hauptbahnhof";"KG Waidhofen an der Ybbs, 03329. Bahnhofstraße";"709/1";"14,76583, 47,9679";"www.waidhofen. at/ns-zeit#Zwangsarbeiter"
"Niederösterreich";"Waidhofen an der Ybbs";"Waidhofen an der Ybbs";"Kriegsgefangene. Kriegsgefangenenlager für Franzosen im Gasthof Aschenbrenner in der Fuchslueg. Genaue Lage unklar";"KG Waidhofen an der Ybbs, 03329. www.waidhofen.at/ns-zeit#Zwangsarbeiter";"";"";""
"Niederösterreich";"Waidhofen an der Ybbs";"Windhag";"Kriegsgefangene. Kriegsgefangenenlager für Franzosen im Gasthof";"KG Windhag, 03331. Windhag 2";"620/1, 620/2";"14,80256, 47,97952";"www.waidhofen.at/ns-zeit#Zwangsarbeiter"
"Niederösterreich";"Weissenbach an der Triesting";"Weissenbach an der Triesting";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, 40 Männer und Frauen. Lage unklar";"KG Weißenbach an der Triesting, 04327";"";"";"Verzeichnis 1979; Lappin-Eppel 2010"
"Niederösterreich";"Weitra";"Weitra";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, Männer, Frauen und Kinder, Arbeit im Sägewerk Knapp und Holzverladung am Bahnhof. Im Zentrum";"KG Weitra, 07348";"";"";"Verzeichnis 1979; Litschauer 2006, 239; Lappin-Eppel 2010"
"Niederösterreich";"Wiener Neudorf";"Arbeitshaus für Weiber Wiener Neudorf";"Zwangsarbeiter. Zwangsarbeiterlager und Jugendgefängnis. Bestehendes Gebäude allerdings 1945 stark beschädigt und renoviert";"KG Wiener Neudorf, 16128. Hauptstraße 64";"814/2";"16,32258, 48,08448";"Rafetseder 2007"
"Niederösterreich";"Wiener Neudorf";"Guntramsdorf neu KZ-Außenlager";"KZ-Häftlinge und Zwangsarbeiter. Außenlager KZ Mauthausen, Zwangsarbeiterlager für Flugmotorenwerke und Bau eines Luftschutzbunkers, insgesamt 80 Baracken, 34 davon KZ, ca. 4000 Häftlinge aus Jugoslawien, Polen, Sowjetunion, Deutschland, Österreich. Heute Nähe Shopping City Süd, Gelände ist teilweise Brachland, teilweise mit rezenter Siedlung „Mitterfeld“ mit Einfamilienhäusern überbaut";"KG Wiener Neudorf, 16128. Mitterfeld";"118/1, .119, .180/2, .181, .243, .250, .273, .274, .506, .508, .547, .567, .568, .576, .577, .578, .579, .580, .581, .582, .583, .584, .585, .586, .588, .589, .591, .592, .593, .594, .595, .596, .597, .598, .599, .600, .601, .602, .603, .604, .605, .606, .607, .608, .609, .611, .612, .613, .614, .616, .617, .618, .619, .620, .621, .622, .623, .624, .626, .627, .628, .629, .630, .631, .632, .633, .634, .635, .636, .637, .638, .639, .640, .641, .642, .643, .644, .645, .646, .647, .648, .649, .650, .651, .652, .653, .654, .655, .656, .657, .658, .659, .660, .661, .662, .663, .665, .666, .668, .669, .670, .671, .672, .673, .674, .677, .678, .679, .684, .685, .687, .726, .726, .727, .728, 309, 338/15, 357/4, 357/5, 357/6, 357/7, 357/8, 357/9, 357/10, 357/11, 357/12, 357/13, 357/14, 357/22, 357/26, 357/27, 357/28, 357/29, 357/31, 357/32, 357/33, 357/34, 391/3, 397/2, 397/4, 397/5, 397/6, 397/7, 397/8, 397/10, 397/11, 397/12, 397/13, 397/14, 397/15, 397/16, 397/17, 397/18, 397/19, 397/20, 397/21, 397/22, 405/2, 405/5, 405/6, 405/7, 405/9, 405/10, 405/11, 405/12, 405/13, 405/14, 405/15, 405/16, 405/17, 405/18, 405/19, 405/20, 405/21, 405/22, 405/23, 405/24, 405/25, 405/26, 405/27, 405/28, 408/11, 408/2, 408/3, 408/6, 408/7, 408/8, 432/1, 432/3, 432/4, 432/12, 432/13, 432/14, 432/15, 432/16, 432/17, 432/18, 432/19, 432/20, 432/22, 432/23, 432/24, 432/25, 432/27, 432/28, 432/29, 432/30, 432/31, 432/32, 432/33, 432/34, 432/35, 432/36, 432/37, 432/38, 432/39, 432/40, 432/41, 432/42, 432/43, 432/44, 432/45, 432/46, 432/47, 432/48, 432/49, 432/51, 432/60, 432/61, 432/63, 432/64, 432/65, 432/66, 432/67, 432/68, 432/69, 432/70, 432/71, 432/73, 432/74, 432/75, 432/76, 432/77, 432/78, 432/79, 432/80, 432/81, 432/82, 432/83, 432/84, 432/85, 432/86, 432/87, 432/88, 432/90, 432/91, 432/92, 432/93, 432/94, 432/95, 432/97, 432/98, 432/99, 432/100, 432/101, 432/102, 432/103, 432/104, 432/106, 432/107, 432/108, 432/109, 432/110, 432/111, 432/112, 432/113, 432/114, 432/115, 432/116, 432/117, 432/118, 432/119, 432/120, 432/121, 432/122, 432/123, 432/124, 432/127, 432/128, 432/129, 432/130, 432/131, 432/132, 432/133, 432/134, 432/135, 432/136, 432/137, 432/138, 432/139, 432/140, 432/141, 432/142, 432/143, 432/144, 432/145, 432/146, 432/147, 432/148, 432/149, 432/150, 432/152, 432/153, 432/154, 432/155, 432/156, 432/157, 432/158, 432/159, 432/160, 432/161, 432/162, 432/163, 432/164, 432/165, 432/166, 432/167, 432/168, 432/169, 432/170, 432/171, 432/172, 432/173, 432/174, 432/175, 432/176, 432/177, 432/178, 432/179, 432/180, 432/181, 432/182, 432/183, 432/184, 432/185, 432/186, 432/187, 432/188, 432/189, 432/190, 432/191, 432/192, 432/193, 432/194, 432/195, 432/196, 432/197, 432/198, 432/199, 432/200, 432/201, 432/202, 432/203, 432/204, 432/205, 432/206, 432/207, 432/208, 432/209, 432/210, 432/211, 432/212, 432/214, 432/215, 432/216, 432/217, 432/218, 432/219, 432/220, 432/221, 432/222, 432/223, 432/224, 432/225, 432/226, 432/227, 432/228, 432/229, 432/230, 432/231, 432/232, 432/233, 432/234, 432/235, 432/236, 432/237, 432/238, 432/239, 432/240, 432/241, 432/242, 432/242, 432/243, 432/244, 432/245, 432/246, 432/247, 432/248, 432/249, 432/250, 432/251, 432/252, 432/253, 432/254, 432/255, 432/256, 432/257, 432/258, 432/259, 432/260, 432/261, 432/262, 432/263, 432/264, 432/265, 432/266, 432/267, 432/270, 432/271, 432/273, 432/274, 432/275, 432/282, 432/290, 432/292, 432/293, 432/294, 432/295, 432/296, 432/297, 432/298, 432/304, 432/305, 432/306, 432/307, 432/308, 432/310, 432/311, 432/312, 432/313, 432/314, 432/315, 432/318, 432/320, 432/324, 432/325, 432/326, 432/327, 432/328, 432/331, 432/333, 432/335, 432/336, 432/337, 432/339, 432/340, 433/3, 433/5, 433/6, 433/213, 436/3, 436/4, 436/5, 436/6, 436/7, 436/8, 436/9, 436/10, 436/12, 436/14, 436/15, 436/17, 436/19, 436/21, 437/3, 437/4, 438/3, 439/1, 439/5, 439/6, 440/2, 440/4, 441/3, 442/2, 442/4, 444/2, 444/4, 444/5, 445/3, 445/4, 448/2, 448/8, 448/9, 448/10, 448/11, 448/12, 448/13, 448/14, 448/18, 448/21, 448/22, 448/23, 448/31, 457/3, 477/1, 477/4, 477/5, 896";"";"Verzeichnis 1979; Lappin-Eppel 2010"
"Niederösterreich";"Wiener Neustadt";"Wiener Neustadt (1943/1944), auch „Rax-Werke“";"KZ-Häftlinge. Außenlager KZ Mauthausen, Zwangsarbeiter für Hallenaufbau, Produktion von Raketen und Landungsbooten, Reparatur von Bombenschäden, 700–1200 Häftlinge aus Frankreich, Polen und Sowjetunion, Baracken in Anbau an die „Serbenhalle“. Werkshalle Raxwerke erhalten, heute als Lagerhalle genutzt, Baracken waren angebaut (wo, ist unklar)";"KG Wiener Neustadt, 23443. Pottendorfer Straße";"1068/1";"16,2528, 47,82974";"Lechner und Füsselberger 2013"
"Niederösterreich";"Wiener Neustadt";"Wiener Neustadt Gymelsdorferstraße";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, Straßenräumung, Schneeräumung, Gustloff Werke. Teilweise rezent überbaut";"KG Wiener Neustadt, 23443. Gymelsdorfergasse 41, Ecke Richtergasse";"3940/7. 16,23794. 47,80049. Lappin-Eppel 2010";"";""
"Niederösterreich";"Wiener Neustadt";"Wiener Neustadt Judenlager Salzer";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, Straßenräumung, Schneeräumung, Gustloff-Werke. Rezent überbaut, Wohnhausanlage";"KG Wiener Neustadt, 23443. Pottendorfer Straße 162";"3153, 1719, 1720/1";"16,26767, 47,83269";"Lappin-Eppel 2010"
"Niederösterreich";"Wiener Neustadt";"Wiener Neustadt Umschulungslager";"Zwangsarbeiter. Zwangsarbeiterlager, Umschulungslager für Juden, Umerziehungslager für landwirtschaftliche Arbeiten. Rezent überbaut";"KG Wiener Neustadt, 23443. Wiener Straße 16";"4797/16";"16,24248, 47,81517";"Rafetseder 2007"
"Niederösterreich";"Wienerwald";"Sittendorf Reichsautobahn-Lager";"Kriegsgefangene und Zwangsarbeiter. Lager der Reichsautobahn, zuerst für französische Kriegsgefangene, dann für serbische Zwangsarbeiter. Südlich von Sittendorf, Gedenkort neben der Straße";"KG Sittendorf, 16122. An der L 128";"384, 386/2, 386/3, 394, 510/1";"16,16257, 48,06786";"Arnberger und Kuretsidis-Haider 2011. http://judeninkrems.at/das-barackenlager-in-sittendorf/ http://www. kulturatlas.at/aut_no/page/00080192.htm"
"Niederösterreich";"Wieselburg";"Neumühl";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, Männer und Frauen, Arbeit im Sägewerk. Lage nicht feststellbar";"KG Wieselburg, 22143";"";"";"Verzeichnis 1979; Lappin-Eppel 2010"
"Niederösterreich";"Wildendürnbach";"Alt-Prerau";"Zwangsarbeiterinnen. Zwangsarbeiterlager für ungarische Juden, Frauen, Arbeit für Firma Julius Meinl Konservenfabrik, Landwirtschaft. Gutshof wurde renoviert und überbaut, Unterbringung vermutlich im Gutshof";"KG Wildendürnbach, 13051. Alt-Prerau";"1/2, 6/1, 6/2, 7, 8, 113/3, 113/4";"16,477, 48,79805";"Verzeichnis 1979"
"Niederösterreich";"Winklarn";"Haag Dorf";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, Männer, Frauen und Kinder, landwirtschaftliche Arbeiten bei Landwirt Mayer. Lage unklar";"KG Haag Dorf, 03013";"";"";"Verzeichnis 1979; Lappin- Eppel 2010"
"Niederösterreich";"Wölbling";"Landersdorf";"Zwangsarbeiter. Judenlager. Lage unklar";"KG Landersdorf, 19137";"";"";"Zwangsarbeit 2005"
"Niederösterreich";"Wolfsgraben";"Wolfsgraben";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, 70 Männer, Frauen und Kinder, Barackenlager unmittelbar neben dem Wolfsgrabenbach, Arbeit bei Wiener Elektrizitätswerken. 118/4 und 118/14 rezent überbaut, 118/15 Brachland";"KG Wolfsgraben, 01909. Leopold Mitterstöger-Straße 6A/6B";"118/4, 118/14, 118/15. 16,12132. 48,15935";"";"Verzeichnis 1979"
"Niederösterreich";"Wullersdorf";"Immendorf";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, 15–20 Männer und Frauen, landwirtschaftliche Arbeiten bei Gutsverwaltung Baron Rudolf von Freudenthal. Lage unklar";"KG Immendorf, 09029";"";"";"Verzeichnis 1979; Lappin-Eppel 2010"
"Niederösterreich";"Ybbs an der Donau";"Arbeiterheim Ybbs";"Zwangsarbeiter? Zwangsarbeit für Kraftwerk. Bis 1934 sozialdemokratisches Objekt";"KG Ybbs, 14420. Schulring 13";"229/4";"";"Oertel 2002"
"Niederösterreich";"Ybbs an der Donau";"Lager Donaudorf";"Kriegsgefangene und Zivilarbeiter. Deutsche und italienische Zivilarbeiter, ab 1943 britische Kriegsgefangene, am Kraftwerk. Ca. 1 km oberhalb der Wehrachse am rechten Donauufer. Genaue Lage unklar";"KG Donaudorf, 14403";"";"";"Oertel 2014, 167"
"Niederösterreich";"Ybbs an der Donau";"Lager Frühlingsberg";"Kriegsgefangene und Umsiedler. 1940 Umsiedler, danach sowjetische Kriegsgefangene. Genaue Lage unklar";"KG Donaudorf, 14403. Frühlingsbergstraße";"";"";"Oertel 2002"
"Niederösterreich";"Ybbs an der Donau";"Teuch Steinbruch";"Kriegsgefangene und Zwangsarbeiter. Zwangsarbeiterlager für das Wasserstraßenamt Ybbs, Baracke bei einem Steinbruch";"KG Donaudorf, 14403";"";"";"Perz u. a. 2020, 170"
"Niederösterreich";"Ybbs an der Donau";"Ybbs";"Opferstätte. Euthanasie. Euthanasie-Standort";"KG Ybbs, 14420. Persenbeuger Straße 1–3, 3370 Ybbs an der Donau";"219, .221, .281, 1798, 1799, 1817/4";"15,07917, 48,18166";"Schölnberger und Roth 2013, 325–358"
"Niederösterreich";"Ybbsitz";"Ybbsitz";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, Frauen, Arbeit für Aufbaugenossenschaft, Erdarbeiten. Lage unklar";"KG Ybbsitz, 03333";"";"";"Verzeichnis 1979; Lappin-Eppel 2010"
"Niederösterreich";"Ziersdorf";"Gettsdorf";"Zwangsarbeiter. Zwangsarbeiterlager für ungarische Juden, Arbeit bei Johann Karner Mistelbach, Bauunternehmer, Bachregulierung. Lage unklar";"KG Gettsdorf, 09111";"";"";"Verzeichnis 1979"
"Niederösterreich";"Zwentendorf an der Donau";"Pischelsdorf";"Kriegsgefangene und Zwangsarbeiter. Arbeitserziehungslager und Zwangsarbeiterlager für ungarische Juden und Kriegsgefangene aus Polen, der Sowjetunion und anderen Ländern, Arbeit bei Schuchertwerke Siemens AG, Herstellung von Schaltanlagen. Vermutlich ident mit Moosbierbaum";"KG Pischelsdorf, 20163. Kleinschönbichl";"631/1 (630)";"15,9423, 48,33276";"Verzeichnis 1979"
"Niederösterreich";"Zwettl-Niederösterreich";"Teillager Wildings";"Kriegsgefangene. Teil des STALAG XVII C. Lage unklar";"";"";"";"Speckner 2003, 225"
"Niederösterreich";"Zwettl-Niederösterreich";"Zwangsarbeiterlager „Zigeunerlager“ Hinterberg";"Zwangsarbeiter, Roma und Sinti. Genaue Lage unklar, fraglich ob richtige KG (in der Literatur teils als Hinterberg in Niederösterreich, teils als Hinterberg in der Steiermark angeführt)";"KG Großglobnitz, 24317";"";"";"https://www.erinnern.at/themen/e_bibliothek/ roma/388_Baumgartner_%20Roma%20Geschichte-Volksgruppe-Kulturverein.pdf"
"Niederösterreich";"Zwölfaxing";"Zwölfaxing";"Zwangsarbeiter. Lager des Rübenkonsortiums Zwölfaxing im „Ziegelwerk 2“. Lage unklar";"KG Zwölfaxing, 05224. www.geschichtewiki.wien.gv.at/Zwangsarbeiterlager_Zwölfaxing - (Lage unklar). Schreckmühle. Zwangsarbeiter. Zwangsarbeiterlager. Lage unklar, Raum St. Pölten. St";"";"";"Pölten 2015"
"Oberösterreich";"Alkoven";"Tötungsanstalt Schloss Hartheim";"Opferstätte. T4-Tötungsanstalt. 1898–1945 „Irrenanstalt“. Zwischen 1940 und 1944 bis zu 30 000 Menschen durch Kohlenmonoxid ermordet und in einem eigenen Krematorium verbrannt. 2001 Fund von Abfallgruben mit Leichenbrand und persönlichen Gegenständen südlich des Fahrweges Alkoven–Annaberg";"KG Hartheim, 45012. Schloßstraße 1";"450";"14,113816, 48,281059";"Maršálek 1995"
"Oberösterreich";"Altenfelden";"Arbeitslager für Juden Doppl";"Zwangsarbeiter. Arbeitslager für Juden als „Umschulungslager der Zentralstelle für jüdische Auswanderung“, betrieben von SS. 91 Häftlinge in Zwangsarbeit für Holzstoff- und Pappenfabrik, bei Bau-, Transport-, Verlade-, Steinbruch-, Forst- und Erntearbeiten. In sogenannter Dopplmühle";"KG Haselbach, 47207. Doppl";"";"13,940552, 48,502783";"Rappberger 2013. http://davidkultur.at/artikel/die-umschulungslager-doppl-und-sandhof-der-wiener-zentralstelle-fur-judische-auswanderung-teil-1; http://davidkultur.at/ artikel/die-umschulungslager-doppl-und-sandhof-der-wiener-zentralstelle-fur-judische-auswanderung-teil-2; https://tannberger.wordpress.com/2014/04/07/altenfelden-zur-zeit-des-nationalsozialismus/#_Toc110146129"
"Oberösterreich";"Ampflwang im Hausruckwald";"Kriegsgefangenenlager Ampflwang";"Kriegsgefangene. Kriegsgefangenenlager, Zwangsarbeit für Wolfsegg-Traunthaler Kohlenwerke AG. Genaue Lage unbekannt";"KG Ampfelwang, 50302";"";"13,562613, 48,088953";"Hornung 2010, 185–195"
"Oberösterreich";"Ansfelden";"Kriegsgefangene in Ansfelden";"Kriegsgefangene. Kriegsgefangenenlager, 80 Franzosen für bäuerliche Arbeit. Eine Unterkunft im „Herrenstöckl“ (Mühle)";"KG Ansfelden, 45313. Freindorfer Straße 21";"2765/3";"14,293756, 48,228282";"http://anton-bruckner.heimat.eu/der_zweite_weltkrieg.htm"
"Oberösterreich";"Ansfelden";"Kriegsgefangene in Ansfelden";"Kriegsgefangene. Kriegsgefangenenlager, 80 kriegsgefangene Franzosen für bäuerliche Arbeit in Ansfelden. Eine Unterkunft in der Ackerbauschule Ritzlhof (heute Berufs- und Fachschule Ritzlhof)";"KG Kremsdorf, 45322. Kremstalstraße 125";"1393/2";"14,247937, 48,184938";"http://antonbruckner.heimat.eu/der_zweite_weltkrieg.htm"
"Oberösterreich";"Ansfelden";"Kriegsgefangene in Ansfelden";"Kriegsgefangene. Kriegsgefangenenlager, 80 kriegsgefangene Franzosen für bäuerliche Arbeit in Ansfelden. Eine Unterkunft im Bauernhof vulgo Brandstetter";"KG Fleckendorf, 45317. Fleckendorf 15";"57";"14,317726, 48,201318";"http://anton-bruckner.heimat.eu/der_zweite_weltkrieg.htm"
"Oberösterreich";"Ansfelden";"Kriegsgefangene in Ansfelden";"Kriegsgefangene. Kriegsgefangenenlager, 80 kriegsgefangene Franzosen für bäuerliche Arbeit in Ansfelden. Eine Unterkunft im Bauernhof vulgo Freidhofer";"KG Nettingsdorf, 45324. Nettingsdorfer Straße 74";"518/1";"14,260225, 48,180671";"http://anton-bruckner.heimat.eu/der_zweite_weltkrieg.htm"
"Oberösterreich";"Ansfelden";"Kriegsgefangene in Ansfelden";"Kriegsgefangene. Kriegsgefangenenlager. Am 20. Juli 1940 35 kriegsgefangene Franzosen für den Fabriksbetrieb Nettingsdorf. Papierfabrik Nettingsdorf (heute Smurfit Kappa Nettingsdorf)";"KG Nettingsdorf, 45324. Nettingsdorfer Straße 40";"1073/2";"14,259499, 48,184314";"http:// anton-bruckner.heimat.eu/der_zweite_weltkrieg.htm"
"Oberösterreich";"Ansfelden";"Reichsautobahnlager Haid";"Kriegsgefangene. Kriegsgefangenenlager der Organisation Todt für Bau der Reichsautobahn (Reichs-Autobahn-Lager), über 100 Baracken. Im Ortsteil Haid. Riesiges Areal (ca. 48 Hektar) südlich der Traunuferstraße, östlich der Salzburgerstraße, nördlich der Stelzhamerstraße und westlich der Eisenbahn";"KG Rapperswinkel, 45328. und KG Kremsdorf, 45322. Hunderte Parzellen";"";"14,258021, 48,205841";"Kreuzer 2007, 148. http://www.rheinwiesenlager.de/haid1.htm; http://anton-bruckner.heimat.eu/der_zweite_weltkrieg.htm"
"Oberösterreich";"Asten";"Umsiedlerlager Asten";"Kriegsgefangene und Umsiedler:innen. Umsiedlerlager. Luftbild zeigt Fundamente ehemaliger Baracken. Im Bereich der heutigen Justizanstalt und der unmittelbar umgebenden Grundstücke";"KG Asten, 45101. Harterfeld, Peterbauerstraße 2";"87, 49, 50, 51, 52/2, 53/1, 54, 55/2";"14,406919, 48,225077";"Neuwirth o. J"
"Oberösterreich";"Attnang-Puchheim";"Attnang Puchheim";"Kriegsgefangene. Arbeitskommando Attnang Puchheim, wenig befestigtes Lager vor Ort. Genaue Lage unbekannt";"KG Attnang-Puchheim, 50303";"";"";"Rafetseder 2007"
"Oberösterreich";"Attnang-Puchheim";"Reichsbahnlager Attnang-Puchheim";"Zwangsarbeiter. Reichsbahnlager. Genaue Lage unbekannt";"KG Attnang-Puchheim, 50303";"";"";"Kogoj 2012, 93"
"Oberösterreich";"Aurach am Hongar";"Reichsautobahnlager Hainbach";"Kriegsgefangene und Zwangsarbeiter. Zwangsarbeiterlager für Zwangsarbeiter und Kriegsgefangene für Bau der Reichsautobahn. Genaue Lage unbekannt";"KG Hainbach, 50308";"";"13,648423, 47,952605";"https://www.atterwiki.at/index.php?title=Autobahn"
"Oberösterreich";"Bachmanning";"Außenlager Bachmanning";"KZ-Häftlinge. Außenlager zuerst als eigenständiges Außenlager des KZ Mauthausen geführt, dann als Subkommando des KZ-Außenlagers Großraming, 1942 auch Einsatzort für Dachau-Häftlinge aus Bad Ischl. Holzfällerarbeiten und Zwangsarbeit in Sägewerk in Unterseling, Unterbringungsort der Häftlinge unbekannt. Sägemühle (Arbeitsstätte) im Ortsteil Unterseling";"KG Bachmanning, 51105";"";"13,799306, 48,123250";"Benz und Distel 2005, 292. https://www.mauthausen-guides.at/aussenlager/ kz-aussenlager-bachmanning"
"Oberösterreich";"Bad Hall";"Umsiedlerlager Bad Hall";"Umsiedler:innen. Umsiedlerlager der Nationalsozialistischen Volkswohlfahrt. Historisches Bestandsgebäude, ehemaliges Kurhotel Emilienhof, sechseckiger Erkerturm an der Straßenecke";"KG Bad Hall, 51002. Hauptplatz 2";"70";"14,207944, 48,035151";"Schoißengeier 1969"
"Oberösterreich";"Bad Ischl";"Außenlager KZ Bad Ischl";"KZ-Häftlinge. Außenlager des KZ Dachau. Arbeiten im örtlichen Umsiedlerlager im Bad Ischler Ortsteil Roith, an der Straße Richtung Ebensee. Gelände rezent mit Wohnhäusern überbaut";"KG Jainzen, 42008. Brachbergstraße";"194, .217, .218, .219, .224, 70/3, 251/5, 251/14, 253/2, 253/3, 253/4, 253/6, 253/7, 253/8, 253/9, 253/10, 253/11, 253/12, 253/13, 253/14, 253/15, 253/16, 253/17, 253/18, 253/20, 243/5";"13,645189, 47,725022";"Benz und Distel 2005, 290–291. https://ncap.org.uk/sites/default/files/frames/download/000/001/037/NCAP-000-001-037-710.jpg"
"Oberösterreich";"Bad Ischl";"Mitterweißenbach";"Zwangsarbeiter, eventuell auch Kriegsgefangene? Zwangsarbeiterlager für Reichsstraßenbau, jüdische Zwangsarbeiter. Genaue Lage unbekannt";"KG Bad Ischl, 42002";"";"";"https://memorial-ebensee.at"
"Oberösterreich";"Bad Ischl";"Zwangsarbeiterlager für Juden Mitterweißenbach";"Zwangsarbeiter. Zwangsarbeiterlager für Juden, 47 Häftlinge für Arbeiten im Straßenbau und an Soleleitung. Genaue Lage unbekannt";"KG Jainzen, 42008";"";"13,675826, 47,744551";"Haider und Marckhgott 2001, 138"
"Oberösterreich";"Bad Wimsbach-Neydharting";"Zwangsarbeiter in Schloss Wimsbach";"Zwangsarbeiter. Zwangsarbeiterlager, diente als Erholungsheim für Beschäftigte der Hermann-Göring-Werke";"KG Wimsbach, 51129. Schloß 1";"39/2";"13,899872, 48,062434";"Rafetseder 2007, 205-206"
"Oberösterreich";"Baumgartenberg";"Umsiedlerlager Baumgartenberg";"Umsiedler:innen. Umsiedlerlager im bestehenden Klostergebäude";"KG Baumgartenberg, 43206. Baumgartenberg 1";"372";"14,742389, 48,208469";"Schoißengeier 1969"
"Oberösterreich";"Braunau am Inn";"Braunau-Haselbach, Lagerfriedhof";"Zwangsarbeiter. Friedhof. Soldatenfriedhof des 1. Weltkriegs, beherbergt auch Gräber sowjetischer Zwangsarbeiter, mit eigenem Denkmal";"KG Osternberg, 40013. Rupert Gugg-Straße 16";"295/4";"13,062036, 48,253155";"https://www.dorfhaselbach.at/2015/der-haselbacherkriegerfriedhof/"
"Oberösterreich";"Braunau am Inn";"Gerichtsgefängnis Schloss Wildshut";"Kriegsgefangene, eventuell auch Umsiedler? Gerichtsgefängnis, auch für Kriegsgefangene. Bestehendes Gebäude";"KG Braunau am Inn, 40005. Mühlengasse 3";"226";"13,07659, 48,257485";"Schoißengeier 1969"
"Oberösterreich";"Braunau am Inn";"Waldlager Neukirchen";"Kriegsgefangene und Zwangsarbeiter. Zwangsarbeiterlager, ab 1939 für den Bau des Aluminiumwerkes samt Bahnanschluss errichtet. Knapp nördlich des Aluminiumwerkes Ranshofen, unmittelbar nördlich des zum Werk führenden Bahnanschlusses zwischen den Werkszufahrten bei Kote 381";"KG Ranshofen, 40014";"2902/1";"13,034670, 48,234055";"Krebs 2007, 127; Belli 2012; Hoffmann 2015, Abb. 39. http:// bruckissammelsurium.blogspot.com/2016/06/ranshofen.html"
"Oberösterreich";"Burgkirchen";"Heim für fremdvölkische Kinder";"Kinderheim, Internierung von Kindern von Zwangsarbeiterinnen unter Lagerbedingungen. Gebäude abgebrochen oder erneuert";"KG St. Georgen an der Mattig, 40220. Eglsee 3";"";"13,123918, 48,202119";"Schoißengeier 1969"
"Oberösterreich";"Desselbrunn";"Windern Schloss Ausländerkinderpflegestätte";"Kinderheim für fremdvölkische Kinder. Kinder von";"";"";"";""
