"Bundesland";"Politische Gemeinde";"Lagerbezeichnung";"Lagerinsassen und Geschichte";"Lokalisierung";"Grundstücksnummern";"Koordinaten";"Literatur und Quellenangaben"
"Wien";"6. Bezirk";"Wien Capistrangasse 2";"Zwangsarbeiter. Zwangsarbeiterlager für polnische Zwangsarbeiter:innen";"KG Mariahilf, 01009. Capistrangasse 2";"137/9";"16,357997, 48,199782";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Gumpendorfer Straße 83";"Zwangsarbeiter. Zwangsarbeiterlager für griechische Zwangsarbeiter";"KG Mariahilf, 01009. Gumpendorfer Straße 83";"753/2";"16,349776, 48,193616";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Gumpendorfer Straße 115";"Zwangsarbeiter. Zwangsarbeiterlager für tschechische Zwangsarbeiter";"KG Mariahilf, 01009. Gumpendorfer Straße 115";"965/1";"16,346487, 48,190752";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Gumpendorfer Straße 132";"Zwangsarbeiter. Zwangsarbeiterlager für griechische Zwangsarbeiter:innen";"KG Mariahilf, 01009. Gumpendorfer Straße 132";"1168";"16,340534, 48,190712";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Hofmühlgasse 7";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen";"KG Mariahilf, 01009. Hofmühlgasse 7";"803/2";"16,353546, 48,193111";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Hofmühlgasse 18–24";"Zwangsarbeiter. Zwangsarbeiterlager für italienische Zwangsarbeiter";"KG Mariahilf, 01009. Hofmühlgasse 18";"547";"16,351483, 48,194298";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Kasernengasse 16";"Zwangsarbeiter. Zwangsarbeiterlager für italienische Zwangsarbeiter";"KG Mariahilf, 01009";"";"";"Seit 1949 Otto-Bauer-Gasse. Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Liniengasse 2";"Zwangsarbeiter. Lager beziehungsweise Reservelazarett für russische Zwangsarbeiter:innen";"KG Mariahilf, 01009. Liniengasse 2";"671";"16,347792, 48,194125";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Liniengasse 44";"Zwangsarbeiter. Zwangsarbeiterlager für griechische Zwangsarbeiter";"KG Mariahilf, 01009. Liniengasse 44";"1206/1";"16,340932, 48,191613";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Mollardgasse 24";"Zwangsarbeiter. Zwangsarbeiterlager für italienische Zwangsarbeiter";"KG Mariahilf, 01009. Mollardgasse 24";"787";"16,351366, 48,191355";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Schmalzhofgasse 83";"Zwangsarbeiter. Zwangsarbeiterlager für italienische Zwangsarbeiter. (Angaben beziehen sich auf 8/3)";"KG Mariahilf, 01009. Schmalzhofgasse 8/3";"608";"16,347392, 48,195832";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Stiegengasse 10";"Zwangsarbeiter. Zwangsarbeiterlager für griechische Zwangsarbeiter";"KG Mariahilf, 01009. Stiegengasse 10";"330";"16,357974, 48,198187";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"6. Bezirk";"Wien Webgasse 38";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter";"KG Mariahilf, 01009. Webgasse 38";"638/2";"16,345385, 48,195614";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"7. Bezirk";"Wien Apollogasse 20";"Zwangsarbeiter. Zwangsarbeiterlager";"KG Neubau, 01010. Apollogasse 20";"1218";"16,342068, 48,198178";"Wiener Stadt- und Landesarchiv, Landesgericht für Strafsachen, A11-Vr-Strafsachen"
"Wien";"7. Bezirk";"Wien Burggasse 35";"Zwangsarbeiter. Zwangsarbeiterlager für russische, griechische, italienische, polnische und jugoslawische Zwangsarbeiter, INHA Lager";"KG Neubau, 01010. Burggasse 35";"33";"16,352441, 48,204038";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"7. Bezirk";"Wien Burggasse 37";"Zwangsarbeiter. Zwangsarbeiterlager für griechische und jugoslawische Zwangsarbeiter:innen";"KG Neubau, 01010. Burggasse 37";"32/1";"16,352204, 48,204003";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"7. Bezirk";"Wien Burggasse 70";"Zwangsarbeiter. Zwangsarbeiterlager für griechische Zwangsarbeiter";"KG Neubau, 01010. Burggasse 70";"793/1";"16,347289, 48,204466";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"7. Bezirk";"Wien Halbgasse 11";"Zwangsarbeiter. Zwangsarbeiterlager für griechische Zwangsarbeiter";"KG Neubau, 01010. Halbgasse 11";"1457/3";"16,341413, 48,203974";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"7. Bezirk";"Wien Kaffee Westbahnhof";"Zwangsarbeiter. Zwangsarbeiterlager für italienische Zwangsarbeiter";"KG Neubau, 01010. Westbahnhof (?)";"";"";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"7. Bezirk";"Wien Kaiserstraße 86";"Zwangsarbeiter. Zwangsarbeiterlager für russische Zwangsarbeiter:innen";"KG Neubau, 01010. Kaiserstraße 86";"1512";"16,339926, 48,205803";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"7. Bezirk";"Wien Kandlgasse 9/4";"Zwangsarbeiter. Zwangsarbeiterlager für jugoslawische Zwangsarbeiter:innen";"KG Neubau, 01010. Kandlgasse 9/4";"1376/1";"16,344195, 48,20267";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"7. Bezirk";"Wien Kandlgasse 11";"Zwangsabeiterlager für griechische Zwangsarbeiter:innen";"KG Neubau, 01010. Kandlgasse 11";"1378";"16,344049, 48,202653";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
"Wien";"7. Bezirk";"Wien Mariahilfer Straße 88A";"Zwangsarbeiter. Zwangsarbeiterlager für griechische und jugoslawische Zwangsarbeiter:innen";"KG Neubau, 01010. Mariahilfer Straße 88A";"509/4";"16,346499, 48,197417";"Lütgenau u. a. 2000a; Lütgenau u. a. 2000b; Lütgenau 2003, 167–186"
